School,Company,NIL value,Instagram Followers,TikTok Followers,Twitter Followers,Kmeans
Oklahoma Sooners,Life+STYLE by Laura,83000.0,10200.0,609.0,14000.0,1
Alabama Crimson Tide,Life+STYLE by Laura,70000.0,24000.0,7400.0,4500.0,1
USC Trojans,Life+STYLE by Laura,208000.0,30000.0,375.0,6100.0,1
Florida Gators,Life+STYLE by Laura,69000.0,10200.0,83000.0,5300.0,1
Undecided,Life+STYLE by Laura,110000.0,29000.0,4300.0,32000.0,1
Georgia Bulldogs,Life+STYLE by Laura,151000.0,27000.0,1100.0,15500.0,1
Texas A&M Aggies,Life+STYLE by Laura,171000.0,11000.0,347.0,9500.0,1
Michigan Wolverines,Life+STYLE by Laura,233000.0,65000.0,121000.0,16400.0,1
Washington Huskies,Husky Throwbacks,340000.0,20000.0,459.0,10400.0,5
UCLA Bruins,All Vote No Play,105000.0,37000.0,659.0,21000.0,0
USC Trojans,Amazon Fashion,12000.0,4600.0,9500.0,555.0,5
Oregon State Beavers,Amazon Fashion,259000.0,318000.0,15600.0,35000.0,5
Ohio State Buckeyes,Applebee's,230000.0,3200.0,50.0,4700.0,5
Ohio State Buckeyes,Applebee's,404000.0,6100.0,3400.0,6900.0,5
Utah Utes,Headspace,208000.0,239000.0,149000.0,28000.0,5
Ohio State Buckeyes,Chipotle,404000.0,6100.0,3400.0,6900.0,5
Ohio State Buckeyes,Chipotle,230000.0,3200.0,50.0,4700.0,5
South Carolina Gamecocks,crocs,102000.0,107000.0,31000.0,28000.0,1
Florida Gators,crocs,42000.0,34000.0,5200.0,4700.0,1
NC State Wolfpack,crocs,19800.0,15600.0,480.0,2100.0,1
Utah Utes,crocs,14300.0,120.0,15700.0,1600.0,1
Auburn Tigers,FanBasis,30000.0,19300.0,8600.0,1500.0,0
Ohio State Buckeyes,The View on Fifth,314000.0,37000.0,493.0,13700.0,5
USC Trojans,Fletcher Jones Motorcars,242000.0,3700.0,5.0,1200.0,0
Pittsburgh Panthers,CVS,24000.0,4800.0,110000.0,632.0,0
Florida Gators,ZipRecruiter,35000.0,15400.0,76000.0,1300.0,0
Michigan Wolverines,Randy Wise Automotive Team,76000.0,18300.0,9400.0,7800.0,5
Michigan Wolverines,Randy Wise Automotive Team,554000.0,133000.0,889.0,47000.0,5
Michigan State Spartans,The Players Trunk,73000.0,8200.0,129.0,2700.0,1
Western Michigan Broncos,The Players Trunk,217000.0,35000.0,21000.0,11400.0,1
Michigan Wolverines,The Players Trunk,233000.0,65000.0,121000.0,16400.0,1
Syracuse Orange,The Players Trunk,52000.0,54000.0,28000.0,16400.0,1
Kentucky Wildcats,Ale-8-One,524000.0,76000.0,139000.0,42000.0,5
Florida Gators,Krystal,69000.0,10200.0,83000.0,5300.0,1
Florida Gators,Krystal,89000.0,33000.0,18800.0,12100.0,1
Florida Gators,Krystal,52000.0,5500.0,188.0,4300.0,1
Florida Gators,Krystal,55000.0,7900.0,3200.0,5700.0,1
Tennessee Volunteers,Krystal,74000.0,16900.0,7700.0,8000.0,1
Tennessee Volunteers,Krystal,116000.0,36000.0,14.0,6900.0,1
Georgia Bulldogs,Krystal,189000.0,58000.0,4700.0,25000.0,1
Georgia Bulldogs,Krystal,38000.0,2900.0,81.0,3400.0,1
Georgia Bulldogs,Krystal,201000.0,22000.0,23.0,6800.0,1
Auburn Tigers,Krystal,30000.0,19300.0,8600.0,1500.0,1
North Carolina Tar Heels,The Town Hall Grill,134000.0,74000.0,4400.0,26000.0,5
Providence Friars,110 Grill,12700.0,5700.0,216.0,3400.0,0
UCLA Bruins,DormRoomFund,105000.0,37000.0,659.0,21000.0,0
Wisconsin Badgers,Sprecher Brewery,37000.0,3100.0,60.0,3500.0,0
Oklahoma Sooners,Boomer Kia,88000.0,14500.0,1900.0,14500.0,0
Oklahoma Sooners,Boomer Kia,199000.0,14700.0,135.0,7100.0,0
Kansas State Wildcats,GoPowercat,449000.0,5700.0,520.0,3300.0,5
Texas Longhorns,Wrangler,303000.0,79000.0,113000.0,20000.0,5
UCLA Bruins,Wrangler,72000.0,17600.0,118000.0,1900.0,5
Florida Gators,Visible Mobile,76000.0,77000.0,4800.0,9600.0,0
Stanford Cardinal,Visible Mobile,171000.0,209000.0,64000.0,4500.0,0
Texas Longhorns,Visible Mobile,49000.0,38000.0,11100.0,3100.0,0
Undecided,Seth Wadley Dealerships,19200.0,9200.0,267.0,1400.0,0
Oklahoma Sooners,Glad,61000.0,55000.0,10200.0,18400.0,0
Oregon Ducks,GOAT,22000.0,10100.0,5100.0,1800.0,0
Oregon Ducks,GOAT,21000.0,6100.0,30000.0,1700.0,0
Stanford Cardinal,GOAT,171000.0,209000.0,64000.0,4500.0,0
LSU Tigers,Team IFA,138000.0,9500.0,4500.0,2800.0,0
Kansas State Wildcats,One.One,245000.0,18500.0,36000.0,10600.0,5
Undecided,Bumble,18300.0,13800.0,2000.0,1700.0,0
LSU Tigers,Bumble,46000.0,39000.0,10300.0,3300.0,0
Colorado State Rams,Ent Credit Union,26000.0,3200.0,7100.0,1400.0,0
Miami Hurricanes,Hooters,85000.0,3600.0,19.0,669.0,1
LSU Tigers,Hooters,112000.0,99000.0,242.0,148.0,1
LSU Tigers,Hooters,52000.0,18000.0,417.0,5500.0,1
LSU Tigers,Hooters,41000.0,3800.0,123.0,4000.0,1
LSU Tigers,Hooters,41000.0,3400.0,253.0,3100.0,1
Vanderbilt Commodores,Hooters,21000.0,4200.0,3000.0,806.0,1
Vanderbilt Commodores,Hooters,19600.0,2300.0,273.0,891.0,1
Missouri Tigers,Hooters,33000.0,1800.0,3.0,1700.0,1
Missouri Tigers,Hooters,35000.0,937.0,25000.0,1200.0,1
Missouri Tigers,Hooters,33000.0,1600.0,100.0,1300.0,1
Missouri Tigers,Hooters,35000.0,4500.0,331.0,1500.0,1
Oklahoma Sooners,Hooters,220000.0,8400.0,474.0,12800.0,1
Oklahoma Sooners,Hooters,163000.0,3800.0,13100.0,5100.0,1
Texas A&M Aggies,Hooters,34000.0,20000.0,333.0,2800.0,1
Georgia Tech Yellow Jackets,Hooters,27000.0,6700.0,192.0,3100.0,1
Auburn Tigers,Hooters,55000.0,10100.0,58000.0,5900.0,1
Auburn Tigers,Hooters,44000.0,2500.0,83.0,2800.0,1
Undecided,Hooters,47000.0,7500.0,23.0,1600.0,1
Auburn Tigers,Hooters,43000.0,2700.0,584.0,909.0,1
Miami Hurricanes,Hooters,50000.0,6600.0,72.0,5100.0,1
Oklahoma Sooners,Hooters,199000.0,14700.0,135.0,7100.0,1
UCLA Bruins,6thverse,105000.0,37000.0,659.0,21000.0,0
Utah Utes,Hallow,208000.0,239000.0,149000.0,28000.0,5
Oklahoma State Cowboys,Force Factor,168000.0,123000.0,565000.0,14700.0,4
Kentucky Wildcats,Xenith Prep Kickoff Classic,69000.0,13500.0,735.0,21000.0,0
Ohio State Buckeyes,Xenith Prep Kickoff Classic,54000.0,14700.0,23000.0,7400.0,0
Arkansas Razorbacks,Arvest Bank,69000.0,15400.0,16900.0,16300.0,0
LSU Tigers,Greater Baton Rouge Food Bank,65000.0,17500.0,3100.0,2300.0,0
Florida Gators,Just Salad,35000.0,15400.0,76000.0,1300.0,0
Kentucky Wildcats,NOBULL,524000.0,76000.0,139000.0,42000.0,5
Undecided,NOBULL,468000.0,17500.0,26.0,3800.0,5
North Carolina Tar Heels,NOBULL,392000.0,30000.0,919.0,7100.0,5
Michigan Wolverines,Chicago White Sox,207000.0,82000.0,373000.0,12400.0,4
Florida State Seminoles,Barstool Sports,364000.0,45000.0,5100.0,27000.0,2
Wisconsin Badgers,Barstool Sports,380000.0,82000.0,9000.0,22000.0,2
Georgia Bulldogs,Barstool Sports,38000.0,2900.0,81.0,3400.0,2
Florida Gators,Barstool Sports,51000.0,5000.0,35.0,3600.0,2
Iowa Hawkeyes,Barstool Sports,60000.0,16300.0,2500.0,5600.0,2
Kent State Golden Flashes,Barstool Sports,9400.0,1200.0,527.0,529.0,2
Florida State Seminoles,Barstool Sports,57000.0,8600.0,9700.0,5900.0,2
Iowa State Cyclones,Barstool Sports,37000.0,6300.0,283.0,1500.0,2
Syracuse Orange,Barstool Sports,8400.0,1100.0,183.0,310.0,2
Florida Gators,Barstool Sports,64000.0,13200.0,1300.0,13300.0,2
Undecided,Barstool Sports,31000.0,2900.0,1.0,439.0,2
Ohio State Buckeyes,Barstool Sports,30000.0,5100.0,356.0,3200.0,2
Virginia Cavaliers,Barstool Sports,14800.0,2400.0,42.0,1200.0,2
Syracuse Orange,Barstool Sports,19000.0,596.0,118.0,67.0,2
Notre Dame Fighting Irish,Barstool Sports,39000.0,2600.0,62.0,2400.0,2
Wyoming Cowboys,Barstool Sports,51000.0,55000.0,2500.0,3600.0,2
Undecided,Barstool Sports,19200.0,9200.0,267.0,1400.0,2
Michigan Wolverines,Barstool Sports,53000.0,10800.0,287.0,4700.0,2
Michigan Wolverines,Barstool Sports,58000.0,3900.0,75.0,3800.0,2
Ohio State Buckeyes,Barstool Sports,27000.0,1500.0,4.0,2800.0,2
Michigan Wolverines,Barstool Sports,47000.0,3500.0,255.0,4000.0,2
Undecided,Barstool Sports,30000.0,4700.0,9900.0,1400.0,2
Alabama Crimson Tide,Barstool Sports,68000.0,8300.0,114.0,3100.0,2
Michigan Wolverines,Barstool Sports,55000.0,12600.0,343.0,6400.0,2
Alabama Crimson Tide,Barstool Sports,55000.0,24000.0,1500.0,12400.0,2
Ohio State Buckeyes,Barstool Sports,27000.0,2200.0,578.0,1400.0,2
Michigan Wolverines,Barstool Sports,58000.0,4100.0,164.0,3300.0,2
Michigan Wolverines,Barstool Sports,233000.0,65000.0,121000.0,16400.0,2
Jacksonville State Gamecocks,Barstool Sports,35000.0,11000.0,165.0,6600.0,2
Ohio State Buckeyes,Barstool Sports,46000.0,4500.0,42000.0,3600.0,2
Georgia Tech Yellow Jackets,Barstool Sports,30000.0,8500.0,480.0,8800.0,2
Undecided,Barstool Sports,16100.000000000002,2300.0,2200.0,348.0,2
Undecided,Barstool Sports,18400.0,7200.0,3600.0,765.0,2
Undecided,Barstool Sports,8700.0,1500.0,136.0,426.0,2
North Carolina Tar Heels,Kinly,193000.0,180000.0,402000.0,10100.0,4
Oklahoma State Cowboys,ATH Posters,168000.0,123000.0,565000.0,14700.0,4
Undecided,Saturday App,31000.0,21000.0,131.0,9800.0,0
Coastal Carolina Chanticleers,Native Sons,443000.0,21000.0,7800.0,8800.0,5
Undecided,Mountain America Credit Union,473000.0,17900.0,44.0,9000.0,5
Houston Cougars,Star Pizza,21000.0,3500.0,1500.0,2400.0,0
North Carolina Tar Heels,Cheribundi,392000.0,30000.0,919.0,7100.0,5
Stanford Cardinal,NEXT 22,171000.0,209000.0,64000.0,4500.0,5
South Carolina Gamecocks,Carolina Basketball Association,20000.0,7500.0,657.0,1800.0,0
Duke Blue Devils,Garmin,101000.0,98000.0,176000.0,1000.0,0
Pittsburgh Panthers,Tifosi Optics,17900.0,5500.0,56000.0,293.0,0
Texas A&M Aggies,Booster Athletes,505000.0,16600.0,107.0,6400.0,5
Florida State Seminoles,Booster Athletes,364000.0,45000.0,5100.0,27000.0,5
Oklahoma Sooners,Booster Athletes,355000.0,54000.0,2400.0,40000.0,5
Alabama Crimson Tide,Six Star Pro Nutrition,145000.0,61000.0,37000.0,17700.0,0
Alabama Crimson Tide,Six Star Pro Nutrition,68000.0,8300.0,114.0,3100.0,0
Alabama Crimson Tide,Six Star Pro Nutrition,133000.0,55000.0,424.0,7900.0,0
Florida Gators,Lulus,35000.0,15400.0,76000.0,1300.0,0
Louisville Cardinals,Lulus,84000.0,79000.0,86000.0,690.0,0
Undecided,Clearcover Insurance,9000.0,1900.0,502.0,143.0,5
Utah Utes,Clearcover Insurance,208000.0,239000.0,149000.0,28000.0,5
Ohio State Buckeyes,Berry Blendz,22000.0,4300.0,2300.0,587.0,0
Oregon State Beavers,Amazon Merch on Demand,259000.0,318000.0,15600.0,35000.0,4
Oklahoma State Cowboys,Amazon Merch on Demand,168000.0,123000.0,565000.0,14700.0,4
Creighton Bluejays,envio skincare,10300.0,3000.0,4900.0,172.0,0
Georgia Tech Yellow Jackets,St. Francis Table Soup Kitchen,12500.0,1300.0,22.0,668.0,0
Georgia Tech Yellow Jackets,St. Francis Table Soup Kitchen,13800.0,3000.0,162.0,569.0,0
Florida Gators,Apis Cor,42000.0,5100.0,92.0,5800.0,0
Georgia Tech Yellow Jackets,Open Hand Atlanta,32000.0,3700.0,42.0,1700.0,0
Louisville Cardinals,BLACKBOUGHSWIM,84000.0,79000.0,86000.0,690.0,0
Oklahoma Sooners,EvoShield,355000.0,54000.0,2400.0,40000.0,5
Oklahoma Sooners,EvoShield,88000.0,14500.0,1900.0,14500.0,5
Indiana Hoosiers,A Kid Again,80000.0,18000.0,137.0,3800.0,0
Indiana Hoosiers,YMCA of Monroe County,32000.0,18000.0,42000.0,13000.0,0
Indiana Hoosiers,YMCA of Monroe County,27000.0,13800.0,256.0,9800.0,0
Indiana Hoosiers,Big Brothers Big Sisters of Central Indiana,30000.0,19200.0,2500.0,6300.0,0
Indiana Hoosiers,Warriors 4 Peace,22000.0,9000.0,3300.0,6200.0,0
Indiana Hoosiers,Cancer Support Community South Central Indiana,18900.0,5100.0,739.0,5700.0,0
Indiana Hoosiers,Cancer Support Community South Central Indiana,17800.0,4000.0,59.0,4500.0,0
Indiana Hoosiers,LittleStar ABA Therapy,35000.0,25000.0,14000.0,9600.0,0
USC Trojans,Eat Clean Bro,12000.0,4600.0,9500.0,555.0,0
Utah Utes,Unilever,208000.0,239000.0,149000.0,28000.0,5
NC State Wolfpack,Tuffy Talk,19700.0,14200.0,13400.0,3000.0,0
UCLA Bruins,Degree Deodorant,369000.0,440000.0,237000.0,46000.0,1
Michigan Wolverines,Degree Deodorant,79000.0,22000.0,189.0,5700.0,1
Wisconsin Badgers,Degree Deodorant,42000.0,31000.0,9600.0,12100.0,1
UCLA Bruins,Degree Deodorant,105000.0,37000.0,659.0,21000.0,1
Alabama Crimson Tide,Degree Deodorant,57000.0,52000.0,7600.0,6600.0,1
Texas Longhorns,Degree Deodorant,49000.0,38000.0,11100.0,3100.0,1
Maryland Terrapins,Diamond Miller Camp,17700.0,6500.0,1400.0,296.0,0
Arkansas Razorbacks,Children's Safety Center,437000.0,56000.0,8900.0,16400.0,0
Arkansas Razorbacks,Children's Safety Center,23000.0,7000.0,33000.0,4500.0,0
Arkansas Razorbacks,Children's Safety Center,98000.0,84000.0,185000.0,24000.0,0
Arkansas Razorbacks,Children's Safety Center,23000.0,9200.0,22000.0,6600.0,0
Arkansas Razorbacks,Children's Safety Center,21000.0,7700.0,1300.0,3300.0,0
NC State Wolfpack,Gopher Brand Athletes,197000.0,16700.0,4600.0,5900.0,0
Oklahoma Sooners,Scratch Kitchen & Cocktails,199000.0,241000.0,2100.0,10000.0,5
Dayton Flyers,The Basketball Tournament,93000.0,10900.0,2300.0,3500.0,0
Dayton Flyers,The Basketball Tournament,51000.0,56000.0,17.0,5200.0,0
UCLA Bruins,J.T. Woolverton Foundation,170000.0,60000.0,6600.0,6900.0,0
UCLA Bruins,J.T. Woolverton Foundation,16600.0,4900.0,19.0,1200.0,0
UCLA Bruins,J.T. Woolverton Foundation,421000.0,46000.0,262.0,7700.0,0
UCLA Bruins,J.T. Woolverton Foundation,34000.0,27000.0,9100.0,877.0,0
Arizona Wildcats,More than a Bed,33000.0,3700.0,38.0,1800.0,0
Gonzaga Bulldogs,Community Cancer Fund,242000.0,31000.0,1800.0,6000.0,0
Gonzaga Bulldogs,Community Cancer Fund,36000.0,34000.0,21000.0,10700.0,0
Gonzaga Bulldogs,Community Cancer Fund,20000.0,15900.0,873.0,3600.0,0
Gonzaga Bulldogs,Community Cancer Fund,15800.0,10300.0,72.0,2300.0,0
Florida Gators,Quatro Gymnastics,76000.0,77000.0,4800.0,9600.0,0
Maryland Terrapins,Freak Strength and Abby Bosco Camp,15000.0,3100.0,495.0,4.0,0
Virginia Tech Hokies,Mike Jones Ford Lincoln,17100.0,5000.0,370.0,5000.0,0
Virginia Tech Hokies,Mike Jones Ford Lincoln,44000.0,5500.0,1300.0,1800.0,0
Kansas State Wildcats,Basepath,32000.0,1600.0,103.0,1300.0,0
Florida State Seminoles,Basepath,48000.0,11500.0,394.0,5000.0,0
Kansas State Wildcats,Basepath,40000.0,3200.0,259.0,1400.0,0
Coastal Carolina Chanticleers,Darlington Raceway,443000.0,21000.0,7800.0,8800.0,5
West Virginia Mountaineers,Grafton High School Youth Football Camp,70000.0,13800.0,2300.0,4400.0,0
West Virginia Mountaineers,Grafton High School Youth Football Camp,158000.0,10100.0,5400.0,7700.0,0
Auburn Tigers,Room2Room Movers,22000.0,9700.0,1400.0,273.0,0
Iowa Hawkeyes,Topps,138000.0,153000.0,9500.0,32000.0,5
USC Trojans,C4 Energy,12000.0,4600.0,9500.0,555.0,0
Undecided,Flatstick Pub,24000.0,157.0,167.0,374.0,0
Washington State Cougars,Flatstick Pub,27000.0,2400.0,316.0,1300.0,0
Washington Huskies,MaxBat,38000.0,30000.0,17000.0,5800.0,0
Pittsburgh Panthers,Power of Bowser Auto,236000.0,8800.0,60000.0,92.0,0
NC State Wolfpack,Matthews Motors,197000.0,16700.0,4600.0,5900.0,0
Oklahoma State Cowboys,The SKUT Shop,168000.0,123000.0,565000.0,14700.0,4
North Carolina Tar Heels,Salvio's Pizza,28000.0,17800.0,150.0,7200.0,0
Michigan Wolverines,Levi's,74000.0,16400.0,177.0,7500.0,0
Alabama Crimson Tide,Levi's,91000.0,17300.0,11.0,7100.0,0
UCLA Bruins,Levi's,369000.0,440000.0,237000.0,46000.0,0
Louisville Cardinals,Kroger,84000.0,79000.0,86000.0,690.0,0
North Carolina Tar Heels,Actively Black,193000.0,180000.0,402000.0,10100.0,4
Ohio State Buckeyes,Designer Shoe Warehouse,436000.0,137000.0,1700.0,38000.0,5
Ohio State Buckeyes,American Eagle Outfitters,292000.0,18700.0,179.0,10000.0,0
UCLA Bruins,American Eagle Outfitters,70000.0,75000.0,3100.0,2100.0,0
UCLA Bruins,LegalZoom,105000.0,37000.0,659.0,21000.0,0
Creighton Bluejays,Vuori,11700.0,4700.0,6400.0,829.0,0
Michigan Wolverines,The M Den,554000.0,133000.0,889.0,47000.0,5
Kansas State Wildcats,Fan Arch,449000.0,5700.0,520.0,3300.0,5
Michigan Wolverines,SaluteLeos,40000.0,29000.0,10700.0,1400.0,0
Auburn Tigers,SaluteLeos,30000.0,19300.0,8600.0,1500.0,0
Florida Gators,Monos Travel & Luggage,35000.0,15400.0,76000.0,1300.0,0
South Carolina Gamecocks,Thompson Rental Services & Sales,89000.0,36000.0,450.0,22000.0,0
Arkansas Razorbacks,Farmers Bank & Trust,69000.0,18500.0,1300.0,6300.0,0
Utah Utes,Blue Linen Boutique,14300.0,120.0,15700.0,1600.0,0
Notre Dame Fighting Irish,Mission BBQ,40000.0,3600.0,109.0,2600.0,0
Notre Dame Fighting Irish,Mission BBQ,40000.0,3400.0,120.0,2500.0,0
Notre Dame Fighting Irish,Mission BBQ,43000.0,7200.0,162.0,6400.0,0
Notre Dame Fighting Irish,Mission BBQ,39000.0,3100.0,61.0,23.0,0
Notre Dame Fighting Irish,Mission BBQ,39000.0,2600.0,62.0,2400.0,0
North Carolina Tar Heels,Barcode,193000.0,180000.0,402000.0,10100.0,4
Gonzaga Bulldogs,Cascadia Public House,20000.0,15900.0,873.0,3600.0,0
Syracuse Orange,cuts,52000.0,54000.0,28000.0,16400.0,0
NC State Wolfpack,SOLDXOUT,25000.0,21000.0,4400.0,5500.0,0
Clemson Tigers,Prisma Health-Upstate Giving,241000.0,135000.0,20000.0,19700.0,5
North Carolina Tar Heels,Essentia Water,193000.0,180000.0,402000.0,10100.0,4
Syracuse Orange,Empire Classic,52000.0,54000.0,28000.0,16400.0,0
Houston Cougars,MensXMental,21000.0,3500.0,1500.0,2400.0,0
Memphis Tigers,The National Civil Rights Museum,23000.0,17400.0,909.0,1100.0,0
Clemson Tigers,George and Roszena Shaw Center for Housing and Eco,256000.0,9600.0,138.0,2900.0,0
North Carolina Tar Heels,Greensboro Housing Authority,44000.0,13800.0,229.0,6900.0,0
Clemson Tigers,The Salvation Army Boys & Girls Clubs of Greater C,177000.0,29000.0,6300.0,9100.0,0
Florida Gators,Florida KidCare,76000.0,77000.0,4800.0,9600.0,0
Oklahoma State Cowboys,Soul Runner,168000.0,123000.0,565000.0,14700.0,4
Clemson Tigers,Help Hope Live,293000.0,42000.0,161000.0,23000.0,5
Stanford Cardinal,LifeBrand,75000.0,88000.0,9200.0,5700.0,0
NC State Wolfpack,Playa’s Fashion,15000.0,9700.0,156.0,706.0,0
Clemson Tigers,Boys & Girls Clubs of the Pee Dee,106000.0,40000.0,70000.0,39000.0,5
Utah Utes,KOKOLU,42000.0,40000.0,602.0,108.0,0
UCLA Bruins,Dove,45000.0,41000.0,2400.0,3500.0,0
Kentucky Wildcats,Boone's Trace National Golf Club,524000.0,76000.0,139000.0,42000.0,5
UCLA Bruins,Gymshark,369000.0,440000.0,237000.0,46000.0,3
NC State Wolfpack,Direct Auto Insurance,25000.0,21000.0,4400.0,5500.0,0
UCLA Bruins,Get.Juice,105000.0,37000.0,659.0,21000.0,0
Baylor Bears,Overtime Fits,213000.0,252000.0,145000.0,6500.0,5
UCLA Bruins,ASAS-Los Angeles,72000.0,17600.0,118000.0,1900.0,0
Clemson Tigers,Levine Children’s,245000.0,47000.0,6000.0,16000.0,5
Oklahoma State Cowboys,Boutine Los Angeles,168000.0,123000.0,565000.0,14700.0,4
Clemson Tigers,Collins Childrens Home,66000.0,14900.0,149.0,7800.0,0
Oklahoma Sooners,Plum Practicewear,199000.0,241000.0,2100.0,10000.0,0
Utah Utes,Plum Practicewear,32000.0,26000.0,3000.0,1700.0,0
UCLA Bruins,Next Play Capital,105000.0,37000.0,659.0,21000.0,0
UCLA Bruins,Rayban,105000.0,37000.0,659.0,21000.0,0
Florida Gators,Meta,35000.0,15400.0,76000.0,1300.0,0
UCLA Bruins,Meta,105000.0,37000.0,659.0,21000.0,0
Clemson Tigers,Littlejohn Community,49000.0,12300.0,467.0,4000.0,0
Michigan Wolverines,Wolverine Weekend,554000.0,133000.0,889.0,47000.0,0
Michigan Wolverines,Wolverine Weekend,149000.0,5000.0,8.0,1300.0,0
Michigan Wolverines,Wolverine Weekend,92000.0,30000.0,1200.0,14000.0,0
Iowa Hawkeyes,Iowa Cubs,138000.0,153000.0,9500.0,32000.0,5
Oklahoma Sooners,Cameo,61000.0,55000.0,10200.0,18400.0,2
Creighton Bluejays,Cameo,10300.0,3000.0,4900.0,172.0,2
Washington State Cougars,Cameo,14200.0,4500.0,1200.0,670.0,2
Florida State Seminoles,Cameo,364000.0,45000.0,5100.0,27000.0,2
Undecided,Cameo,31000.0,2900.0,1.0,439.0,2
Kentucky Wildcats,Cameo,40000.0,29000.0,2900.0,12000.0,2
Undecided,Cameo,25000.0,22000.0,2900.0,5600.0,2
Kentucky Wildcats,Cameo,42000.0,32000.0,5400.0,13000.0,2
Kentucky Wildcats,Cameo,50000.0,43000.0,30000.0,7400.0,2
Texas A&M Aggies,Cameo,276000.0,10400.0,1900.0,4900.0,2
Minnesota Golden Gophers,Cameo,59000.0,11900.0,20.0,7700.0,2
South Carolina Gamecocks,Cameo,89000.0,36000.0,450.0,22000.0,2
Texas A&M Aggies,Cameo,24000.0,6900.0,932.0,2000.0,2
Undecided,Cameo,246000.0,61000.0,8500.0,13700.0,2
Texas Longhorns,Cameo,61000.0,8300.0,18.0,5800.0,2
Undecided,Cameo,110000.0,29000.0,4300.0,32000.0,2
LSU Tigers,Cameo,76000.0,19000.0,57000.0,10500.0,2
Penn State Nittany Lions,Cameo,142000.0,53000.0,11200.0,23000.0,2
Wyoming Cowboys,Cameo,51000.0,55000.0,2500.0,3600.0,2
West Virginia Mountaineers,Cameo,81000.0,16600.0,129000.0,1400.0,2
Alabama Crimson Tide,Cameo,55000.0,24000.0,1500.0,12400.0,2
TCU Horned Frogs,Cameo,169000.0,13900.0,231.0,4200.0,2
West Virginia Mountaineers,Cameo,54000.0,10100.0,6100.0,5200.0,2
Georgia Bulldogs,Cameo,151000.0,27000.0,1100.0,15500.0,2
Ohio State Buckeyes,Cameo,106000.0,54000.0,69000.0,17600.0,2
Notre Dame Fighting Irish,Cameo,14400.0,8100.0,148.0,3300.0,2
Purdue Boilermakers,Cameo,38000.0,4200.0,16600.0,782.0,2
Notre Dame Fighting Irish,Cameo,10600.0,4000.0,375.0,477.0,2
Ohio State Buckeyes,Cameo,375000.0,71000.0,16200.0,22000.0,2
Kentucky Wildcats,Cameo,27000.0,13700.0,2100.0,5900.0,2
LSU Tigers,Cameo,82000.0,31000.0,4000.0,6700.0,2
South Carolina Gamecocks,Cameo,108000.0,112000.0,85000.0,5100.0,2
Kentucky Wildcats,Cameo,524000.0,76000.0,139000.0,42000.0,2
Illinois Fighting Illini,Cameo,41000.0,33000.0,32000.0,10100.0,2
Virginia Tech Hokies,Cameo,42000.0,4200.0,541.0,1000.0,2
Ohio State Buckeyes,Cameo,50000.0,12300.0,342.0,5400.0,2
Alabama Crimson Tide,Cameo,145000.0,61000.0,37000.0,17700.0,2
Undecided,Cameo,84000.0,48000.0,3600.0,16800.0,2
Ohio State Buckeyes,Cameo,30000.0,11700.0,32000.0,2500.0,2
Alabama Crimson Tide,Cameo,145000.0,146000.0,179000.0,38000.0,2
Jacksonville State Gamecocks,Cameo,35000.0,11000.0,165.0,6600.0,2
Auburn Tigers,WWE,30000.0,19300.0,8600.0,1500.0,0
Michigan Wolverines,Pro Sports Zone,233000.0,65000.0,121000.0,16400.0,5
Oklahoma Sooners,Live Nation,199000.0,241000.0,2100.0,10000.0,5
Washington Huskies,Baylee Klingler Hitting Camp,38000.0,30000.0,17000.0,5800.0,0
Utah Utes,Omaha Steak Company,15200.0,2900.0,8000.0,596.0,0
Utah Utes,Omaha Steak Company,42000.0,40000.0,602.0,108.0,0
Duke Blue Devils,Fanatics,143000.0,37000.0,5400.0,5200.0,0
Creighton Bluejays,2FIT BRANDS,10300.0,3000.0,4900.0,172.0,0
West Virginia Mountaineers,GameChanger Tailgate,81000.0,16600.0,129000.0,1400.0,0
West Virginia Mountaineers,GameChanger Tailgate,158000.0,10100.0,5400.0,7700.0,0
Georgia Bulldogs,Fortnite,151000.0,27000.0,1100.0,15500.0,1
Stanford Cardinal,Fortnite,75000.0,88000.0,9200.0,5700.0,1
UCLA Bruins,Fortnite,22000.0,11700.0,6600.0,1400.0,1
Ohio State Buckeyes,Fortnite,30000.0,11700.0,32000.0,2500.0,1
UCLA Bruins,Fortnite,22000.0,12300.0,4300.0,1100.0,1
Michigan Wolverines,Fortnite,97000.0,29000.0,70000.0,7700.0,1
Michigan Wolverines,Fortnite,79000.0,22000.0,7100.0,6400.0,1
Ohio State Buckeyes,Fortnite,37000.0,18400.0,50000.0,2500.0,1
Michigan Wolverines,Fortnite,233000.0,65000.0,121000.0,16400.0,1
Baylor Bears,Buff City Soap,213000.0,252000.0,145000.0,6500.0,5
California Golden Bears,Courtsmith,33000.0,29000.0,5.0,757.0,0
Clemson Tigers,Fan Controlled Football,69000.0,18700.0,1000.0,5600.0,0
Stanford Cardinal,Momento NFT,171000.0,209000.0,64000.0,4500.0,5
Florida Gators,mph.bank,35000.0,15400.0,76000.0,1300.0,0
Auburn Tigers,Legacy League,30000.0,19300.0,8600.0,1500.0,0
Michigan Wolverines,Xtreme Xperience,53000.0,10800.0,287.0,4700.0,0
South Carolina Gamecocks,Top Gun,102000.0,107000.0,31000.0,28000.0,5
Florida Gators,Tropical Smoothie Cafe,76000.0,77000.0,4800.0,9600.0,0
