,Name,Company,University,NIL value,Instagram Followers,TikTok Followers,Twitter Followers,Sport
44,Hendon Hooker,"[""French's"", 'Mercedes-Benz of Knoxville', 'MUNICIPAL', 'AT&T Fiber', nan, 'Engage']",Tennessee,1100000.0,96000.0,2700.0,38000.0,Football
45,Henry To'oTo'o,"['Game Day Products', 'Jenloop', 'Krystal', 'PSD Underwear']",Alabama,119000.0,38000.0,,17800.0,Football
46,Houston Griffith,"['Cameo', nan]",Notre Dame,64000.0,18600.0,,8000.0,Football
47,Hunter Dickinson,"['Outback Steakhouse', 'Engage', 'Cameo']",Michigan,868000.0,51000.0,2300.0,33000.0,Basketball
48,Jace Howard,['Barstool Sports'],Michigan,,,,,Basketball
49,Jack Sawyer,"['Rickart Automative', 'Barstool Sports']",Ohio State,134000.0,22000.0,,16500.0,Football
50,Jackson Anthrop,['Barstool Sports'],Purdue,,,,,Football
51,Jackson Powers-Johnson,"[nan, 'PSD Underwear', 'SoHoodie']",Oregon,40000.0,9200.0,15400.0,5900.0,Football
52,Jacob Toppin,"['Cameo', nan]",Kentucky,50000.0,43000.0,30000.0,7400.0,Basketball
53,Jaela Zimmerman,"['Little King Deli & Subs', 'Barstool Sports']",Creighton,9200.0,2100.0,,660.0,Volleyball
54,Jaheim Bell,"['SAXX Underwear', nan]",South Carolina,73000.0,27000.0,3000.0,8000.0,Football
55,Jake Seibert,['Barstool Sports'],Ohio State,30000.0,5100.0,356.0,3200.0,Football
56,Jamal Potts,['Barstool Sports'],FIU,,,,,Football
57,Jared Poplawski,['Barstool Sports'],Colorado,,,,,Football
58,Jarrett Patterson,"['Mission BBQ', 'Barstool Sports']",Notre Dame,143000.0,6200.0,,3500.0,Football
59,Javion Cohen,"['Six Star Pro Nutrition', 'CrisP Clothing', 'My Gameday Shop', 'Barstool Sports', 'Jenloop', 'Alabama Vintage', 'YOKE', 'Yoke Gaming']",Alabama,68000.0,8300.0,114.0,3100.0,Football
60,Jayden Gardner,"[nan, 'Stock Risers']",Virginia,100000.0,12300.0,,3200.0,Basketball
61,Jeremiah Criddell,"['Engage', nan]",Oklahoma,,,,,Football
62,John Chenal,"['Cameo', nan]",Wisconsin,,,,,Football
63,John Emery Jr.,"['Game Day Products', 'Gordon McKernan Injury Attorneys', ""Raising Cane's"", nan]",LSU,225000.0,37000.0,418.0,13400.0,Football
64,Jonah Gambill,"[nan, 'Barstool Sports']",Memphis,,,,,Football
65,Jonathan Odom,"['Krystal', 'Life+STYLE by Laura', nan, 'Barstool Sports']",Florida,69000.0,10200.0,83000.0,5300.0,Football
66,Jordan Battle,"['The Athletic Collection', 'Krystal', 'The Players Trunk', 'Jenloop', 'Bojangles', nan]",Alabama,673000.0,46000.0,12000.0,17000.0,Football
67,Joshua Burrell,['Barstool Sports'],Florida State,57000.0,8600.0,9700.0,5900.0,Football
68,Joshua Langford,"['VIDSIG', nan]",Michigan State,,,,,Basketball
69,Julian Reese,"[nan, 'Outback Steakhouse', 'BRADY']",Maryland,19400.0,7900.0,7100.0,1300.0,Basketball
70,Justice Sueing,"[nan, 'Fortnite', 'Dollar Shave Club', 'RITZ Crackers', 'American Dairy Association Mideast']",Ohio State,37000.0,18400.0,50000.0,2500.0,Basketball
71,Justin Shorter,"['Outback Steakhouse', 'Barstool Sports']",Florida,70000.0,22000.0,1100.0,1800.0,Football
72,Karsen Barnhart,['Barstool Sports'],Michigan,47000.0,3500.0,255.0,4000.0,Football
73,Kayshon Boutte,"[""Raising Cane's"", 'Onyx Authenticated', 'Gordon McKernan Injury Attorneys', 'Yoke Gaming']",LSU,969000.0,64000.0,49.0,20000.0,Football
74,KeAndre Lambert-Smith,"['Pepsi', nan]",Penn State,111000.0,24000.0,243000.0,5300.0,Football
75,Kris Jenkins,['Barstool Sports'],Michigan,58000.0,4100.0,164.0,3300.0,Football
76,Lance Ware,"['Daps', 'Cameo', nan]",Kentucky,42000.0,32000.0,5400.0,13000.0,Basketball
77,Levi Rogers,"['Engage', nan]",Stanford,18200.0,2100.0,,687.0,Football
78,Logan Berzins,"['Engage', nan]",Stanford,17300.0,1100.0,,439.0,Football
79,Logan Eggleston,"['Sprouts Farmers Market', 'Orgain', 'Just Women’s Sports', 'Champion', 'Champs x Eastbay', 'Visible Mobile', 'Degree Deodorant']",Texas,49000.0,38000.0,11100.0,3100.0,Volleyball
80,Malachi Moore,"['Candy Digital', 'Six Star Pro Nutrition', 'Cameo', 'CrisP Clothing', 'My Gameday Shop', ""Milo's Sweet Tea"", 'PSD Underwear', ""Milo's Tea Company""]",Alabama,145000.0,61000.0,37000.0,17700.0,Football
81,Malik Hall,"['Cameo', nan]",Michigan State,,,,,Basketball
82,Marcus Bagley,"['Outback Steakhouse', 'Cameo']",Arizona State,,,,,Basketball
83,Marcus Bingham Jr.,"['Cameo', nan]",Michigan State,,,,,Basketball
84,Marcus Bryant,['Barstool Sports'],SMU,8900.0,1700.0,,349.0,Football
85,Matthew Jones,"[""Applebee's"", 'Chipotle', 'VIDSIG', nan]",Ohio State,230000.0,3200.0,50.0,4700.0,Football
86,Max Kalny,"['Engage', nan]",Stanford,17900.0,1800.0,,476.0,Football
87,Michael O'Shaughnessy,['Barstool Sports'],Ohio State,27000.0,2200.0,578.0,1400.0,Football
88,Mikayla Boykin,"['adidas Football', 'Charlotte FC', 'Moolah Kicks', 'TIAA', 'Grow Credit', 'TNNS', 'Secret Deodorant', 'Olay', 'Family Dollar', 'GLD', 'Bojangles', nan]",Charlotte,,,,,Basketball
89,Mike Sainristil,"['Fortnite', 'YOKE', 'Yoke Gaming']",Michigan,79000.0,22000.0,7100.0,6400.0,Football
90,Mitchell Gildehaus,['Barstool Sports'],Memphis,,,,,Football
91,Mitchell Pehlke,"['SoFi', 'Minute Rice', 'Booster Athletes', 'Barstool Sports', 'JASON', 'Rowdy Energy', 'STX Lacrosse', 'Degree Deodorant']",Ohio State,57000.0,39000.0,88000.0,,Lacrosse
92,Miyan Williams,"['Kane Footwear', nan]",Ohio State,240000.0,33000.0,2000.0,17500.0,Football
93,Montana Fouts,"['Montana Fouts Pitching Camp', 'FanJolt', 'Bama Stuff', 'Diamond Kinetic', 'MontanaFouts14.com', 'Cameo', nan]",Alabama,145000.0,146000.0,179000.0,38000.0,Softball
94,Moro Ojomo,"['Cameo', nan]",Texas,43000.0,3300.0,,4200.0,Football
95,Myra Gordon,"['AKLIEF Cream', 'Big A Legends', 'TNNS', nan]",Alabama,,,,,Basketball
96,Nick Dawkins,"[nan, 'Barstool Sports']",Penn State,39000.0,4600.0,6800.0,3100.0,Football
97,Nick Malone,"[nan, 'Barstool Sports']",West Virginia,37000.0,2100.0,,844.0,Football
98,Nimari Burnett,['Degree Deodorant'],Alabama,57000.0,52000.0,7600.0,6600.0,Basketball
99,Omar Manning,"[nan, 'PSD Underwear']",Nebraska,57000.0,10700.0,508.0,14400.0,Football
100,Parker White,"[nan, 'Barstool Sports']",South Carolina,,,,,Football
101,Payton Thorne,"['The Players Trunk', 'HopCat', nan]",Michigan State,356000.0,24000.0,,6400.0,Football
102,Preston Terrell,"['Cameo', nan]",Purdue,38000.0,4200.0,16600.0,782.0,Football
103,Prince Dorbah,"['Cameo', nan]",Texas,61000.0,8300.0,18.0,5800.0,Football
104,Race Thompson,"['Merchants Bank of Indiana', 'Push Paddle or Pedal', 'Turnstone Center', 'Stop the Violence Indianapolis', nan]",Indiana,30000.0,17200.0,,14000.0,Basketball
105,Rachel Heck,"['Nike', 'Stifel', 'PING Golf']",Stanford,26000.0,23000.0,1000.0,4500.0,Golf
106,Raesjon Davis,"['Engage', nan]",USC,56000.0,10500.0,377.0,5300.0,Football
107,Rakim Jarrett,"['ScienceLogic', 'Engage', nan]",Maryland,105000.0,29000.0,6.0,15100.0,Football
108,Rocky Kreuser,"['Obsesh', 'Obsesh Media Inc']",North Dakota State,,,,,Basketball
109,Ryan Hilinski,"['Degree Deodorant', 'Cameo']",Northwestern,111000.0,48000.0,,26000.0,Football
110,Ryan Selig,['Barstool Sports'],Western Michigan,,,,,Football
111,Sam Hart,['Barstool Sports'],Ohio State,46000.0,4500.0,42000.0,3600.0,Football
112,Sam James,"[nan, 'Cameo']",West Virginia,54000.0,10100.0,6100.0,5200.0,Football
113,Samuel Peacock,['Barstool Sports'],Washington,27000.0,1400.0,,518.0,Football
114,Sedona Prince,"['Door Dash', 'crocs', 'Uninterrupted', 'Native', 'Fortnite', 'MTV Pop Star', 'DIRECTV', ""Dick's Sporting Goods"", 'Champs x Eastbay', 'Quizlet', 'Home Chef', 'Taco Bell', 'Power To The Patients', 'Parity Now', nan]",Oregon,528000.0,235000.0,3000000.0,44000.0,Basketball
115,Seth Jones,['Barstool Sports'],Baylor,32000.0,,,1100.0,Football
116,Shane Calhoun,['Barstool Sports'],East Carolina,,,,,Football
117,Shemar Turner,"['Cameo', nan]",Texas A&M,276000.0,10400.0,1900.0,4900.0,Football
118,Spencer Brown,"[""Hungry Howie's"", 'Cameo', nan]",Michigan State,61000.0,5500.0,,2900.0,Football
119,Spencer Sanders,"['Eskimo Joe’s', 'The Athletic Collection', nan]",Oklahoma State,238000.0,18000.0,13.0,14100.0,Football
120,Spencer Witter,['Barstool Sports'],Boston College,27000.0,2100.0,,472.0,Football
121,T.J. Harvey,['Barstool Sports'],Southern Miss,,,,,Football
122,Tamar Bates,"['YMCA of Monroe County', nan]",Indiana,27000.0,13800.0,256.0,9800.0,Basketball
123,Tamarick Best,['SoHoodie'],FIU,22000.0,9000.0,,615.0,Football
124,Tanner Morgan,"['CAMPUS', nan, 'Cameo']",Minnesota,59000.0,11900.0,20.0,7700.0,Football
125,Tate Hallock,['Barstool Sports'],Michigan State,69000.0,4800.0,,1700.0,Football
126,Terrance Ferguson,"[nan, 'SoHoodie']",Oregon,60000.0,15200.0,24000.0,4300.0,Football
127,Thomas Kithier,"['Cameo', nan]",Michigan State,,,,,Basketball
128,Trayce Jackson-Davis,"['Merchants Bank of Indiana', 'Push Paddle or Pedal', 'Turnstone Center', 'Pennzoil']",Indiana,608000.0,57000.0,34000.0,37000.0,Basketball
129,TreVeyon Henderson,"['Kane Footwear', nan, 'Chipotle', 'American Eagle Outfitters', 'FTX', 'HOMAGE', 'Ricart Automotive', ""Arby's"", 'UltraMega Collection']",Ohio State,519000.0,74000.0,,45000.0,Football
130,Trevor Keegan,"['Xtreme Xperience', 'Barstool Sports']",Michigan,53000.0,10800.0,287.0,4700.0,Football
131,Trevor Roberson,['Barstool Sports'],Texas Tech,,,,,Football
132,Trey Knox,"['Arvest Bank', 'Petsmart', 'PetSmart']",Arkansas,69000.0,15400.0,16900.0,16300.0,Football
133,Tykee Smith,"['Pond Lehocky', 'Life+STYLE by Laura', 'Fortnite', nan, 'Cameo']",Georgia,151000.0,27000.0,1100.0,15500.0,Football
134,Tyler Elsdon,"[nan, 'Barstool Sports']",Penn State,47000.0,3200.0,,2100.0,Football
135,Wil Froumy,['Barstool Sports'],Syracuse,8400.0,1100.0,183.0,310.0,Football
136,Will Levis,"['Onyx Authenticated', 'Mercury', 'Ale-8-One', 'NOBULL', ""Boone's Trace National Golf Club"", 'Paul Miller Ford', 'War of Will', 'Grand Slam Collectibles', 'Cameo', 'Barstool Sports']",Kentucky,524000.0,76000.0,139000.0,42000.0,Football
137,Will Reichard,"['Cameo', 'Barstool Sports']",Alabama,55000.0,24000.0,1500.0,12400.0,Football
138,Xavier Johnson,"['A Kid Again', nan]",Indiana,80000.0,18000.0,137.0,3800.0,Basketball
139,Zak Zinter,['Barstool Sports'],Michigan,55000.0,12600.0,343.0,6400.0,Football
140,Zed Key,"[nan, 'SoHoodie']",Ohio State,31000.0,16100.000000000002,9600.0,3800.0,Basketball
141,Zia Cooke,"['Grammarly', 'Campbell’s Chunky', 'Dr. Dish Basketball', 'Command', 'H&R Block', ""Dick's Sporting Goods"", 'Fenty Skin', 'Harmless Harvest', nan]",South Carolina,188000.0,225000.0,27000.0,19500.0,Basketball
